,Image Name,OCR Transcription
0,_DSC0470.jpeg,"Ellzak CW_iFF
DAUCATER
2 7
JosE?H&MaRy
M
Cunif?
"
1,_DSC0469.jpeg,"EQWLifF
WPz
0F
YLVANUS G. BuLlCch
SEPT 284,838
UE
"
